ven_NAME,ven_COUNTRY,ven_DESCRIPT
ACube Systems,Italy,Производитель материнских плат для AmigaOS и MorphOS.
ADATA,Taiwan,Производитель модулей памяти, карт памяти и USB-накопителей.
ASRock,Taiwan,Производитель материнских плат, видеокарт и промышленных ПК.
Acer,Taiwan,Крупный производитель компьютеров, ноутбуков и комплектующих.
Aigo,China,Производитель потребительской электроники, включая корпуса и кулеры.
Albatron,Taiwan,Производитель материнских плат и видеокарт.
AMD,USA,"Разработчик процессоров, видеокарт и чипсетов."
Antec,USA,"Производитель корпусов, блоков питания и систем охлаждения."
AOpen,Taiwan,Производитель компьютерных компонентов и цифровых вывесок.
Apacer,Taiwan,Производитель модулей памяти, SSD и промышленных решений для хранения данных.
Arctic GmbH,Germany,Производитель систем охлаждения и аксессуаров для ПК.
Asetek,Denmark,Ведущий разработчик и производитель систем жидкостного охлаждения (AIO).
Asus,Taiwan,Один из крупнейших в мире производителей материнских плат, видеокарт и ноутбуков.
Biostar,Taiwan,Производитель материнских плат, видеокарт и SSD.
Buffalo Technology,Japan,Производитель сетевого оборудования и устройств хранения данных.
Chaintech,Taiwan,Производитель материнских плат и видеокарт.
Chassis Plans,USA,Производитель промышленных и военных компьютерных систем.
Chieftec,Germany,Производитель корпусов и блоков питания для ПК.
Colorful,China,Крупный производитель видеокарт, материнских плат и SSD, особенно популярный в Азии.
Cooler Master,Taiwan,Ведущий производитель корпусов, блоков питания, кулеров и периферии.
Corsair,USA,Популярный бренд комплектующих для энтузиастов: память, БП, корпуса, СЖО.
Crucial,USA,"Бренд компании Micron, специализирующийся на модулях памяти и SSD."
Dataram,USA,Производитель памяти для серверов и рабочих станций.
Deepcool,China,Производитель систем охлаждения, корпусов и блоков питания.
Delta Electronics,Taiwan,Крупный производитель силовой электроники и систем охлаждения.
Dynex,USA,"Бренд Best Buy, производящий различную электронику, включая кабели и адаптеры."
EKWB,Slovenia,Премиальный производитель компонентов для кастомных систем жидкостного охлаждения.
Elpida,Japan,"Бывший крупный производитель DRAM, поглощен Micron Technology."
EVGA,USA,"Популярный производитель видеокарт NVIDIA и материнских плат, ушел с рынка GPU."
FSP Group,Taiwan,Крупный OEM-производитель блоков питания.
First International Computer,Taiwan,Производитель материнских плат и встраиваемых систем.
Foxconn,Taiwan,Крупнейший в мире контрактный производитель электроники.
Fractal Design,Sweden,Производитель корпусов для ПК, известный своим минималистичным дизайном.
Fujitsu,Japan,Крупная технологическая компания, производящая в том числе и полупроводники.
G.Skill,Taiwan,Производитель высокопроизводительной оперативной памяти и SSD.
GALAX,Hong Kong,Производитель видеокарт NVIDIA, известный своими моделями HOF (Hall of Fame).
GELID Solutions,Hong Kong,Производитель систем охлаждения и аксессуаров для ПК.
Gainward,Taiwan,"Дочерняя компания Palit, производитель видеокарт NVIDIA."
GeIL,Taiwan,Производитель оперативной памяти.
Gigabyte Technology,Taiwan,Один из крупнейших производителей материнских плат и видеокарт.
Gumstix,USA,Производитель одноплатных компьютеров и встраиваемых систем.
Gunnir,China,Производитель видеокарт, в основном на базе GPU Intel Arc.
Hama Photo,Germany,Производитель аксессуаров для фототехники и электроники.
HyperX,USA,"Бренд Kingston, затем HP, специализирующийся на игровой периферии и памяти."
IBM,USA,Одна из крупнейших в мире технологических корпораций.
Inno3D,Hong Kong,Производитель видеокарт NVIDIA.
Intel,USA,Крупнейший в мире производитель центральных процессоров.
